,Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
0,1,05/02/2010,42.31,2.572,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.0963582,8.106,FALSE
1,1,12/02/2010,38.51,2.548,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.2421698,8.106,TRUE
2,1,19/02/2010,39.93,2.514,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.2891429,8.106,FALSE
3,1,26/02/2010,46.63,2.561,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.3196429,8.106,FALSE
4,1,05/03/2010,46.5,2.625,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.3501429,8.106,FALSE
5,1,12/03/2010,57.79,2.667,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.3806429,8.106,FALSE
6,1,19/03/2010,54.58,2.72,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.215635,8.106,FALSE
7,1,26/03/2010,51.45,2.732,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.0180424,8.106,FALSE
8,1,02/04/2010,62.27,2.719,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.8204499,7.808,FALSE
9,1,09/04/2010,65.86,2.77,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.6228574,7.808,FALSE
10,1,16/04/2010,66.32,2.808,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.4887,7.808,FALSE
11,1,23/04/2010,64.84,2.795,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.4391228,7.808,FALSE
12,1,30/04/2010,67.41,2.78,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.3895456,7.808,FALSE
13,1,07/05/2010,72.55,2.835,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.3399684,7.808,FALSE
14,1,14/05/2010,74.78,2.854,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.3374261,7.808,FALSE
15,1,21/05/2010,76.44,2.826,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.6170934,7.808,FALSE
16,1,28/05/2010,80.44,2.759,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,210.8967606,7.808,FALSE
17,1,04/06/2010,80.69,2.705,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.1764278,7.808,FALSE
18,1,11/06/2010,80.43,2.668,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.4560951,7.808,FALSE
19,1,18/06/2010,84.11,2.637,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.4537719,7.808,FALSE
20,1,25/06/2010,84.34,2.653,7032.371785714286,3384.1765936323177,1760.1001799058954,3292.9358862586605,4132.216422222222,211.3386526,7.808,FALSE
